Job Title,Job Link,Company,Location,Education,Experience,Deadline,Job Description
Manager (Maintenance),https://jobs.bdjobs.com/jobdetails.asp?id=1354351&fcatId=5&ln=1,Khansons Group,Barishal Sadar,Diploma in MechanicalBachelor of Science (BSc) in Mechanical EngineeringDiploma/Bachelor’s Degree...,5 to 8 year(s),07-May-25,"Age 30 to 45 years
The applicants should have experience in the following business area(s): Spinning Mills.
5-8 years of experience in Spinning machine maintenance in a Spinning factory.
Strong knowledge of industrial Spinning machines.
Experience in handling automatic and computerized Spinning machines is a plus.
Ability to manage and train a team of mechanics.
Excellent communication and leadership abilities.
Ability to work under pressure and meet production targets. Oversee the installation, maintenance, and repair of Spinning machines and related equipment.
Ensure all Spinning machines, cutting machines, Ring Frame, Auto cone, AC Plant and other production equipment are operating efficiently.
Develop and implement preventive maintenance schedules to minimize downtime.
Troubleshoot mechanical issues and provide quick solutions to avoid production delays.
Train and supervise the mechanical team for effective machine maintenance and troubleshooting.
Ensure compliance with factory safety standards and mechanical regulations.
Manage spare parts inventory and ensure the timely availability of necessary components.
Coordinate with the production and quality teams to optimize machinery performance.
Implement cost-effective maintenance strategies to reduce operational expenses.
Maintain records of machine performance, breakdown history, and maintenance activities."
Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1354383&fcatId=5&ln=1,Designtech Interior and Furniture Ind. Ltd.,Anywhere in Bangladesh,Diploma in Civil Engineer,Na,30-Apr-25,"AutoCAD
Autocad 2d
CAD
Diploma in Civil
Drawing
Furniture and Interior
Furniture Industry
Furniture manufacture
motorcycle driving
Project Management"
Sr. Technician/Engineer (Electrical),https://jobs.bdjobs.com/jobdetails.asp?id=1354155&fcatId=5&ln=1,DHAKATHAI ALCOMAXX PLC,Ashulia,Bachelor of Science (BSc) in Electrical & Electronic EngineeringDiploma in Electrical,8 to 12 year(s),30-Apr-25,"Electric Repairing
Electrical House Wiring
Electrical Installation and Maintenance
Electrical Maintanance
PLC and Automation
PLC Programming
PLC Troubleshooting"
Senior Engineer/ Junior Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1354211&fcatId=5&ln=1,Zara Zaman Technology Ltd.,"Brahmanbaria, Bogura, Chattogram, Cox's Bazar, Dhaka, Habiganj, Lakshmipur, Moulvibazar, Naogaon, Narayanganj, Natore, Noakhali, Rajshahi, Sylhet",Bachelor of Science (BSc) in Electrical & Electronic EngineeringBachelor of Science (BSc) in...,At least 1 year(s),25-Apr-25,"Age 20 to 28 years
Operation & Maintenance, Project Management, Service/ support.

Excellent written and verbal communication skill both in Bangla and English.

Must have literacy in computer operation (Especially in MS Office and Various Software).

Outgoing & proactive personality, strong teamwork spirit & good interpersonal communication skills.

Must be a key team player .

Electrical, Electronics, Computer & Mechanical troubleshooting skills.

Willing to work extra time as and when required.

Hard working, possess dedication towards the responsibilities.

Ability to work under pressure.

Must be dynamic, energetic, self-motivated and self-organized with a positive attitude. Senior Engineer/ Junior Engineer will be recruited for CRM/ATM/Online CDM/Offline CDM/Cash Sorter Support Team, Technology Operations Dept.
Manage technology services that meet operational requirements in designated area(s) of the organization.
Provides technical leadership on a variety of highly specialized project-related activities requiring expertise in specific technical areas for core information technology systems and services.
Ensure faster resolution of client queries, technical analysis of clients' requirements & response to client on time regarding software enhancement fixes & disputes.
Develop employees through proper training, promote teamwork, and foster open and effective communications.
Manage the software updates from principal as per requirement of the customers and principal and maintain ATMC running smoothly through testing before implementation.
Research, diagnose, troubleshoot and identify solutions to resolve customer issues.
Provide prompt and accurate feedback to customers.
Concept development, testing, product development and reengineering of existing products and services considering competitive scenario.
Departmental administration & operations management.
Performing other relevant tasks as assigned by the management from time to time.

"
Industrial Automation Expert (Project Basis),https://jobs.bdjobs.com/jobdetails.asp?id=1354219&fcatId=5&ln=1,GreenTech Venture,"Anywhere in Bangladesh, Uttara Sector 3",Bachelor of Science (BSc) in Electrical & Electronic EngineeringBachelor of Science (BSc)Master of...,At least 3 year(s),07-May-25,"DCS
HMI
PLC
PLC Troubleshooting
Repair and Maintenance Skills
SCADA
Servo
SIEMENS PLC
Troubleshoot
VFD"
Tender Specialist,https://jobs.bdjobs.com/jobdetails.asp?id=1353991&fcatId=5&ln=1,NetCom Learning Global,GULSHAN 1,Bachelor of Science (BSc) in Computer Science & EngineeringBachelor of Business Administration...,3 to 5 year(s),30-Apr-25,"Government Procurement
tender documentation
Tender Management"
Electronic Repair Technician Intern,https://jobs.bdjobs.com/jobdetails.asp?id=1353807&fcatId=5&ln=1,GreenTech Venture,Uttara Sector 3,"Diploma in ElectronicsDiploma in EngineeringCurrently pursuing a diploma or degree in Electronics,...",Na,06-May-25,"Electrical and Electronic Engineering
Electrical/ Electronics
Electronic Design
Electronic Equipment Maintenance
Electronics
Electronics item research and development
Industrial Automation
Instrumentation
PLC and Automation
Process Automation"
Assistant Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1353868&fcatId=5&ln=1,A renowned and reputable engineering company,Anywhere in Bangladesh,Bachelor of Science (BSc) in Electrical & Electronic Engineering,1 to 2 year(s),06-May-25,"BBT
BoQ and Designing
Electrical and Electronic Engineering
Electrical Drawing
Electrical/ Electronics
Project Management"
Trainee Supervise,https://jobs.bdjobs.com/jobdetails.asp?id=1353855&fcatId=5&ln=1,Bincop Limited,Narayanganj,Diploma in Electricalডিপ্লোমা ইন মেইনটেনান্স টেকনোলজি ও ডিপ্লোমা ইন ইলেকট্রিকাল টেকনোলজি।,Na,06-May-25,Supervision
IT Products Sales Sr. Executive /Asst. Manager,https://jobs.bdjobs.com/jobdetails.asp?id=1353916&fcatId=5&ln=1,NeuraTech Limited,Anywhere in Bangladesh,Bachelor of Science (BSc)Master of Science (MSc)Bachelor of Science (BSc) in Electrical &...,3 to 5 year(s),20-Apr-25,"Business/ Product Development
Corporate Sales
Electrical/ Electronics"
Senior Contracts Engineer (Highway / Structural) - Bangladesh,https://jobs.bdjobs.com/jobdetails.asp?id=1353864&fcatId=5&ln=1,China National Machinery Import & Export Corporation,Dhaka,Masters in Engineering (MEngg),At least 5 year(s),22-Apr-25,"You will be work in DAEEP, which is a mega G-T-G infrastructure project

Assists in developing and implementing requirements for cost recording, reporting, and analyzing standards, programs, and reports.

Assists in preparing cost data for projects, proposals and contract negotiations.

Scope change management.

Determines scope definition requirements for a discipline or other specialty and works with Engineering and other sources to coordinate the production of required data to conform to the overall estimate preparation plan.

Develops quantity takeoffs for a discipline or specialty using defined documents or undefined scope assumptions.

Verifies quantities provided by others.

Develops and applies unit rates (cost and job hours) to quantity takeoffs and to otherwise developed quantities within a discipline or other specialty.

Prepares specific budgets in accordance with prescribed standards and procedures.

Independently provides financial reporting and trending, with oversight, for the Project Cost Engineer.

Prepare and manage the staffing plans (cost and job hours) Prepare and coordinate cost reports.

Collects and classifies cost engineering data.

Performs data analysis and development.

Performs any other duties as directed by the Senior Supervisor / Manager."
Food Technology Sales & Support Executive,https://jobs.bdjobs.com/jobdetails.asp?id=1353792&fcatId=5&ln=1,Multiple Trading,Motijheel,Bachelor of Science (BSc)Diploma/B.Sc. in Food Engineering and Technology and/or equivalent work...,Na,06-May-25,"Communication
Interpersonal Skills
MS Word/ Excel/ PowerPoint/ OneNote"
"Manager- Rotary Engineering, Mechanical Department, Meghna PVC Limited",https://jobs.bdjobs.com/jobdetails.asp?id=1269155&fcatId=5&ln=1,Meghna Group of Industries.,Narayanganj,Bachelor of Science (BSc) in Mechanical Engineering,Na,21-Apr-25,"BSc./B.E./B.Tech in Mechanical Engineering from a reputed University.

15 - 20 Years of Experience in Fertilizer, Oil and Gas, and Petrochemical plants (PVC, VCM & PET Resin Production Plant).

The candidate must have experience working in maintenance, troubleshooting, and repair of pumps, compressors, turbines, and other rotating machinery. Meghna Group of Industries (MGI) is one of the largest conglomerates in Bangladesh. Meghna PVC Limited (MPVCL) a sister concern of MGI, is currently the Pioneer and Leading PVC and PET Resin Manufacturer in Bangladesh. Currently, MPVCL is looking for a Managerial position who will be responsible for ensuring the reliable and efficient operation of all rotary equipment within the PVC & VCM plant. Perform precautionary, predictive, interruption, and reversal maintenance for rotary and static equipment to ensure optimal equipment reliability and minimize unplanned downtime.

Carry out major overhauling and alignment of steam turbines, gas turbines, centrifugal compressors, multistage pumps, reciprocating pumps, gearboxes, and cooling tower equipment to restore operational proficiency and outspread equipment life.

Conduct vibration analysis of critical rotating machinery and coordinate static/dynamic balancing of rotors to detect faults early and prevent mechanical failure.

Apply ASME, ASTM, and API standards in maintenance, fabrication, inspection, and procurement activities to ensure compliance with industry codes and enhance equipment performance.

Plan and execute shutdown activities as well as manpower mobilization, expert engagement, spare arrangement, and progress monitoring to complete turnaround tasks within schedule and budget.

Manage spare parts procurement and inventory for all rotary and static equipment to avoid downtime due to the unavailability of critical spares.

Supervise erection, alignment, and commissioning of steam turbines, compressors, and other major equipment in expansion projects to support new capacity additions and process integration.

Oversee mechanical run tests, equipment foundation preparation, pad plate installation, and alignment as per technical drawings to ensure proper setup and operational readiness of installed equipment.

Conduct Non-Destructive Testing (NDT) and quality inspections to verify mechanical integrity and safety compliance before commissioning.

Prepare and issue Field Revision Instructions (FRI) and update As-Built drawings in coordination with engineering teams to reflect actual ground conditions and uphold accurate project documentation.

Monitor and analyze maintenance data including manpower utilization, expenditure, spare consumption, and overtime records to optimize resource planning and control operational costs.

Coordinate with project teams, OEMs, contractors, and internal departments to align maintenance activities with project timelines and operational requirements.

Ensure adherence to Process Safety Management (PSM) guidelines and other plant safety protocols during maintenance operations to maintain a harmless working atmosphere and supervisory compliance.

Participate in daily meetings, shutdown scheduling discussions, and equipment performance reviews to support informed decision-making and develop maintenance tactics.

Identify and communicate project issues to site teams, contractors, and the home office as required to minimize risks and facilitate prompt resolution of challenges."
Sr. Executive/Asst. Manager,https://jobs.bdjobs.com/jobdetails.asp?id=1353707&fcatId=5&ln=1,Sunset Kuakata Hotel & Resort PLC,"Barishal, Patuakhali",Bachelor of Science (BSc) in Civil EngineeringDiploma in Engineering in Civil EngineeringMaster of...,At least 5 year(s),05-May-25,"Auto CAD 2D 3D
AutoCAD
Civil
Civil Construction
Civil Engineering"
Sr. Officer/ Executive (Service Trainer),https://jobs.bdjobs.com/jobdetails.asp?id=1353690&fcatId=5&ln=1,Nitol-Niloy Group,Dhaka,Bachelor of Science (BSc)Diploma in Engineering,3 to 7 year(s),30-Apr-25,"Customer Support/ Client Service
Engineers"
Project Electrical Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1353481&fcatId=5&ln=1,Janasheba Foundation,Chattogram,BSc in EEE with CGPA at least 3.20 and at least GPA 4 in HSC & SSC.No need to apply for the...,At least 3 year(s),25-Apr-25,"Age 26 to 35 years
Verified Experience should be at least 3 years.
Comprehensive knowledge in drawing development (2D and 3D in AutoCAD,
Strong communication skills in English (written and oral),
Good technical skills, Shall be responsible for Electrical and Information Technology activities.
It is mandatory to submit original certificates (i.e: BSc, HSC, SSC) and experience certificate to get the job. To follow up all designs, drawings and specifications according to the project Standards;
To supervise, monitor and ensure overall quality of construction works including finishing works and the quality of materials being used at respective projects as per the specifications;
To be responsible for preparing work plans and periodical reports for ongoing projects;
To be responsible for solving any construction-related problems in consultation with the consultants, if necessary, that arise at the project sites;
To be responsible for liaising with Head Office, other professionals within design teams (consultants) and contractors; representatives during construction;
To be responsible for the preparation of Engineering Documents and other documental works for the construction of ongoing projects and maintain the same;
To be responsible for attending meetings and competently communicating with Head Office, Contractors and major asset owners and stakeholders;
To be responsible for managing, directing and monitoring progress during each phase of a project;
To be responsible for taking measurements of the finished works for running bills and recording those in MBs (Measurement Books);
To be responsible for checking the final MBs for final payment and refunding security deposit with the commendation;
To be responsible for preparing the drawings with specifications and BoQ for special items of renovation works;
To have to be computer-literate and conversant with MS Office suite and relevant engineering software packages;
To have to be fluent in writing technical reports, e-mailing and internet browsing;
To have to assume any other responsibility and maintain any other register as assigned by the management.
To be responsible for any tangible or intangible loss or damage caused to the property or interest of the employing organization due to your negligence of duty, unprofessional activity or moral turpitude."
Civil Engineer (Head of Project In Charge),https://jobs.bdjobs.com/jobdetails.asp?id=1353552&fcatId=5&ln=1,A Renowned Group of Company,Dhaka,Bachelor in Engineering (BEngg) in Civil Engineering,7 to 10 year(s),30-Apr-25,"Monitors and assures that project is constructed in accordance with plans and specifications.

Monitoring and ensure quality of all works relates to construction, maintenance and procurement.

Directly responsible in the implementation of all structural and architectural requirements;

Follow up all designs, drawings and specifications according to the project Standards.

Supervise, monitor and ensure overall quality of construction works including finishing works and the quality of materials being used at respective projects as per the specifications.

Supervising the task of Structural, Electrical, Electromechanical, Plumbing, Generator.

Supervising all the construction and post construction maintenance works. Implements safety standards for construction in accordance to industry practices;

Oversee all construction activities and special projects.

Review and validate all construction cost of site.

Regularly report to management.

Taking measurements of the finished works for running bills.

Prepare the schedules of the people.

Submit reports as required and as needed by management.

Comply with the Company Rules and Regulations, Guidelines, and Procedures.

Perform other job related tasks as may be directed by superior and key officers of the company from time to time.

Any other task assign by the top management."
Head of Engineering,https://jobs.bdjobs.com/jobdetails.asp?id=1353456&fcatId=5&ln=1,Arkay Multimedia Limited,Dhaka,Bachelor of Science (BSc) in Civil Engineering,At least 3 year(s),23-Apr-25,"Must know about welding (Laser & Normal).
Understanding drawing and measurement and dimension.
Auto CAD Designing.
Must know how to use Auto CAD.
Must know about foundation load calculation.
Must know about structural design.
Manage Assignments given.
Manage team members.
Ensuring execution of assignments within a deadline.
Must be extremely quality conscious.
Must see that welding is done to perfection.
Must have visas on passport.
Must be able to travel abroad.
Must be able design Auto CAD both 2D and 3D.
Must have adequate knowledge on laser cutting.
Must know how to enter instructions to the laser cutting machine.
Must be able to design, develop and implement welding processes and techniques ensuring structural integrity and quality in various industries.
Must have 100% practical experience in welding, cutting and bending of metal sheets. Research & evaluate new welding technology and process.
Develop and implement quality control procedures to ensure integrity of welding.
Collaborate with other company’s technicians to meet project requirement.
Prepare technical reports and documentation.
Develop and implement safety procedures for welding and other machineries.
Must have travelled to foreign countries.
Maintain and ensure that all equipment including welding are in working order.
Develop detailed designs using engineering software.
Must be able to do costing and budget on a project.
Must keep record of all cost involved with the project and tally with accounts department.
Coordinating and managing the daily activities/scheduling of various construction projects.
Understand and analyze the scope of the project.
Prepare timeline and activity chart for the project.
Must be able to create and analyze designs.
Must be able to do load calculation for concrete and foundation.
Must have planning ability.
Must be able to manage team members."
Manager - Rotery Engraving - Zaber & Zubair Fabrics Limited (Home),https://jobs.bdjobs.com/jobdetails.asp?id=1352935&fcatId=5&ln=1,Noman Group,Tongi,Diploma in EngineeringBachelor of Science (BSc) in Textile TechnologyBachelor in Engineering...,7 to 14 year(s),03-May-25,"All over printing
Exposing
Maintenance and Troubleshooting
Operation & Maintenance
Print Design
Quality Assurance/ Quality Control
Screen Printing"
Architect,https://jobs.bdjobs.com/jobdetails.asp?id=1352506&fcatId=5&ln=1,Scape Development Engineers,Dhaka,Bachelor of Architecture (B.Arch),1 to 3 year(s),24-Apr-25,"2D
3D Max
AutoCAD
Photoshop
V Ray Render"
Executive (Sales Support),https://jobs.bdjobs.com/jobdetails.asp?id=1353288&fcatId=5&ln=1,BD ENGINEERING & MACHINERY LTD,Uttara,Bachelor in Engineering (BEngg) in Electrical & Electronic EngineeringMaster of Business Management...,At least 2 year(s),28-Apr-25,"Industrial Automation
Industrial Machinery"
Maintenance Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1353150&fcatId=5&ln=1,Jamalpur Central Hospital Ltd.,Jamalpur,N/A,At least 3 year(s),26-Apr-25,"Age 25 to 35 years
At least 3 years of practical experience with a specialization in Biomedical Instrumentation and Mechanical  Electrical & Plumbing(MEP)

Experience in a leading private or corporate hospital is

Preferred. Proficiency in MS Word and MS Excel.

Excellent written and verbal communication skills. Assist coordinate all the engineering Department regarding machineries/equipment’s servicing

installation testing and commissioning in the hospital.

Install new equipment by setting up, adjusting, calibrating, and testing its performance.

Develop and implement a periodic maintenance and routine servicing schedule for all medical equipment.

Maintain up-to-date service histories for all biomedical equipment and communicate with the vendors.

Plan for the optimal availability of medical equipment, spare parts, and consumables.

Arrange for special equipment services, evaluate service contracts, and maintain equipment inventories.

Organize standby or loaner medical equipment or spare parts in case of repair delays.

Guide biomedical/ Mechanical / Electrical engineer & Plumbing activities in solving major problems.

Provide training on biomedical equipment, demonstrate operation, instruct healthcare staff on proper use and care, and answer questions.

Arrange specialized training for biomedical engineers when required, especially for life-saving medical equipment.

Liaise with medical equipment suppliers and service providers to ensure proper service support.

Maintain supplies inventory by checking stock, anticipating needs, placing orders, and verifying the receipt of spares for front-line technical support of medical equipment.

Conduct technical comparisons when purchasing new equipment.

Perform other duties as assigned by management.

Strong documentation and reporting skills.

Active, quality-aware, process-oriented, and enthusiastic about taking on responsibilities."
Mechanical Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1352081&fcatId=5&ln=1,Mohammadi Group,"Gazipur, Narayanganj",Bachelor of Science (BSc) in Mechanical EngineeringBachelor’s Degree (BSc) in Mechanical...,At least 3 year(s),23-Apr-25,"Strong understanding of machine mechanics, link systems, and related operations.
Experience with troubleshooting, repairs, and maintenance of industrial machinery.
Knowledge of light inspection systems and mechanical spare parts management.
Excellent analytical skills and problem-solving capacity. Diagnose and troubleshoot mechanical issues in machinery, including swinging, linking, knitting and cutting systems. Perform inspections and ensure the functionality of light checking units and other specialized equipment to maintain operational efficiency and production quality.
Oversee and maintain machine components and ensure smooth functioning of linked systems.
Conduct regular inspections and troubleshoot mechanical issues to minimize downtime.
Ensure the availability and proper handling of spare parts to support maintenance activities.
Collaborate with the production team to enhance machinery performance and operational efficiency.
"
Civil Engineer/ Sr. Civil Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1353139&fcatId=5&ln=1,HARD GROUP,Uttara,Bachelor of Science (BSc) in Civil Engineering,4 to 8 year(s),26-Apr-25,"Age 25 to 40 years
Skills Required: Auto CAD

Minimum 4-8 years practical experience in any reputed real estate & construction project / Firm / Organization.

Knowledge using construction equipment and safety rules.

Strong drawing understanding skills. We are looking for a smart, honest, qualified and knowledgeable Civil Engineer to manage a huge range of projects from conception to completion.

Manage project site to monitor construction progress according to design as well as management decisions.

Supervise and monitor regular activities of construction site, estimation of budget, prepare and verify bill, report regular progress of work to superior.

Estimate materials as per requirement.

Archiving and maintaining site documents.

Checking of work volume and bills submitted by different contractors.

Follow-up all civil works and safety issues.

Adaptable and able to work under pressure independently.

Check site materials quality and volume. Controlling wastage of materials during execution of work.

Project construction schedule, supervision and activity management.

Bill checking as per completed work ad per given design & quality.

Any other activities as and when required by the management.

Excellent verbal & written communications skills, presentation skills & interpersonal skill.

Capable to work under pressure and the willingness to work in any situations.

Proficiency in site layout, grading, utility design, erosion control etc.

"
Sr. Assistant Engineer/ Engineer- Technical Support,https://jobs.bdjobs.com/jobdetails.asp?id=1352828&fcatId=5&ln=1,GPH Ispat Limited,Anywhere in Bangladesh,Bachelor of Science (BSc) in Civil EngineeringDiploma in Civil,At least 1 year(s),26-Apr-25,"Good communication skills
Good presentation skill
Working under pressure"
Site Engineer - Construction Project,https://jobs.bdjobs.com/jobdetails.asp?id=1352675&fcatId=5&ln=1,Fortis Builders Limited,Dhaka,Diploma in CivilB. Sc. in Civil Engineering will get priority,3 to 4 year(s),24-Apr-25,"Auto CAD 2D 3D
Auto CAD Drafting
Civil Engineering
Drawing (Civil 3D Engineers)"
Sales Engineer / Executive (Electrical / Mechanical),https://jobs.bdjobs.com/jobdetails.asp?id=1352548&fcatId=5&ln=1,Celestial Tech,"Dhaka, Chittagong GPO",Bachelor in Engineering (BEngg) in Mechanical Engineering,At least 2 year(s),24-Apr-25,"Air Compressors
Direct Selling
Engineering Firms
Engineers
Fire Fighting System Sales
Generator
HVAC Syetem
Import
indenting"
Electrical and Mechanical Technician,https://jobs.bdjobs.com/jobdetails.asp?id=1352564&fcatId=5&ln=1,Noorjahan Group Sylhet,Sylhet,Diploma in MechanicalBachelor of Science (BSc) in Mechanical EngineeringIndustrial Machineries...,2 to 5 year(s),24-Apr-25,"Age 30 to 40 years
The applicants should have experience in the following business area(s): Cold storage and food industries.

3-5 years of experience in project supervision, including hands-on experience with AC systems, chillers, ducting, and VRF systems.

Technical Skills: Strong knowledge of HVAC system design, installation, and commissioning.

Communication: Excellent communication skills, both verbal and written, to coordinate with team members, clients, and other stakeholders. We are seeking a skilled and experienced Electric Technician The ideal candidate will have a strong understanding of AC, chiller systems, ducting, and VRF (Variable Refrigerant Flow) systems. As a Electrician you will oversee the installation, commissioning, and maintenance systems, ensuring quality and timely delivery of projects. This is an excellent opportunity for individuals with 3-5 years of experience. Supervise the installation, testing, and commissioning of systems, including AC, chillers, ducting, and VRF systems.

Coordinate and monitor all activities related to the project, ensuring adherence to schedules and budgets.

Troubleshoot and resolve technical issues that arise during the project lifecycle.

Conduct regular site inspections to ensure projects are progressing according to plan and quality standards.

Ensure the correct use of materials, tools, and equipment.

Maintain documentation of project progress, issues, and resolutions.

Liaise with clients, project managers, and other stakeholders to provide updates and resolve any issues.

Ensure all work is completed in compliance with local building codes, regulations, and safety standards."
Sub-Assistant Engineer - Dyeing,https://jobs.bdjobs.com/jobdetails.asp?id=1352482&fcatId=5&ln=1,YKK Bangladesh Pte Ltd.,Savar EPZ,Diploma in Electrical/Mechanical Engineering.,At least 3 year(s),24-Apr-25,"Utilize manpower efficiently and control machine operations.

Monitor dyeing production, manage delays, and control remakes.

Color process operations and quality standards.

Maintain FIFO (First-In, First-Out) for materials and sub-materials.

Conduct regular dyeing process checks to ensure efficiency.

Control dyeing quality, reduce rejects, and manage costs.

Implement and maintain 5S practices and ensure workplace safety.

Manage process documentation and monitor target achievements.

Oversee machine installation, maintenance, and parts management.

Conduct and participate in TPM (Total Productive Maintenance) activities.

Any other task assigned by the department manager."
Civil Engineer (Construction & Still Expert),https://jobs.bdjobs.com/jobdetails.asp?id=1352151&fcatId=5&ln=1,Safe Home Construction & Solutions BD,Chattogram,N/A,At least 5 year(s),23-Apr-25,"The applicants should have experience in the following business area(s):
Real Estate, Developer, Real Estate Startup"
"Jr. Engineer (PLC Operation & Colour Sorting, Boiler & Utility)",https://jobs.bdjobs.com/jobdetails.asp?id=1352293&fcatId=5&ln=1,City Group,Anywhere in Bangladesh,Diploma in ElectricalDiploma in Mechanical,1 to 3 year(s),18-Apr-25,"Decision making
Proactive
Problem Solving
Quick learner"
Junior Architect,https://jobs.bdjobs.com/jobdetails.asp?id=1352212&fcatId=5&ln=1,Retail Solutions BD,Dhaka,Diploma in Architecture,At least 1 year(s),23-Apr-25,"AutoCAD
Autodesk 3DSMAX
Maya
SketchUp"
NESL Maintenance Personnel (Electrical),https://jobs.bdjobs.com/jobdetails.asp?id=1352090&fcatId=5&ln=1,National Energy Services Limited,Sylhet,Graduate/Diploma Engineer in Electrical/Relevant Engineering field (it is relaxed if the candidates...,At least 5 year(s),20-Apr-25,"National Energy Services Limited (NESL) is a company incorporated in Bangladesh rendering comprehensive human resource solutions to energy, construction and manufacturing industries of Bangladesh. We recruit across various verticals for multinational corporations as well as leading business houses of the country. NESL now invites applications from competent candidates for the post of NESL Maintenance Personnel (Electrical) for employment with our prospective clients.

 Develop oversee and coordinate daily Permit to Work activities, ensuring all tasks are authorized and safe.

Schedule and coordinate 28-day a maintenance plans to optimize workflow and resource allocation.

Support the Company lead in executing maintenance-driven projects, including planning, scoping, and executing IAS plans, IMPACT shutdowns, and closing HID and impact action items to maintain operational efficiency.

Scope, schedule, and perform maintenance on non-process equipment such as STU blower, utility water pumps, HVAC, chiller, kitchen & laundry equipment, fire & smoke detector and non-process power management to ensure their safe, reliable, and efficient operation.

Maintain an accurate inventory of spare parts, set reorder points and quantities, identify RIK parts, and order critical spare parts through eSar & Smart GEP to prevent downtime.

 Initiate and resposible for MOC requests, participate in risk assessments, conduct functional reviews, create red line drawings, and perform P to ensure changes are safely implemented and documented.

Foster teamwork by assisting colleagues in troubleshooting, preventive maintenance (PM), corrective maintenance (CM), shutdown activities, and other projects. Communicate effectively with operations and cross-functional teams about plant safety, reliability, and operational changes.

Oversee/coordinate preventive and corrective work orders for non process equipment in JDE, conduct daily Toolbox Talks, select Work Team & Area Controllers, oversee office renovations, and ensure compliance with PTW & MSW systems. Prepare job work packs and MSW documents, update them in MSW SharePoint, and draft critical operation instructions for non-process equipment."
NESL Maintenance Personnel (Mechanical),https://jobs.bdjobs.com/jobdetails.asp?id=1352085&fcatId=5&ln=1,National Energy Services Limited,Sylhet,Bachelor’s degree from any public university in Mechanical Engineering,3 to 4 year(s),20-Apr-25,"3-4 years work experience in powerplant/ oil & gas / manufacturing industry.       
Fluent communication skills, including the ability to adopt in multicultural work environment in a stress condition.
Hands on experience in installation, maintenance and overhaul of different industrial pumps, generators compressors and turbines.
Strong knowledge on computerized maintenance management system (work order management, material/critical spare management and technical report writing. National Energy Services Limited (NESL) is a company incorporated in Bangladesh rendering comprehensive human resource solutions to energy, construction and manufacturing industries of Bangladesh. We recruit across various verticals for multinational corporations as well as leading business houses of the country. NESL now invites applications from competent candidates for the post of NESL Maintenance Personnel (Mechanical) for employment with our prospective clients.

Follow all Client’s rules and regulation include but is not limited to CoW, PSM, EM, IT, MVS process, Security protocol.
Operation, maintenance and troubleshooting of different engines, pumps, valves, turbines, compressors etc.
Develop work plans, work scope and execution in JDE based computer sized maintenance management system (CMMS) with maintenance planning and scheduling
Manage all spare parts in inventory for maintenance activities·
Generate material requisition in SMART GEP.
Prepare, prioritize and track maintenance Short/long term job plan·
Interpretation of facility drawings, MOC, P&ID, regulations & relevant technical code and standard·
Developing repair procedure for different equipment's following manufacturing guideline incorporated with Client technical code & standard.
Operational knowledge of all gas plant process facility in BBU
Prepare work pack for different projects and turnaround job & prioritize
Cope up with Client D&I activities"
Site Engineer (Interior Residence/ Commercial ),https://jobs.bdjobs.com/jobdetails.asp?id=1352088&fcatId=5&ln=1,Re or De,Anywhere in Bangladesh,Diploma in Architecture,2 to 4 year(s),20-Apr-25,"Age 24 to 30 years
Experience at Interior sector will be preferred .
Must have frequently a market visiting tendency.
Candidates having motorcycle & a valid driving license will get preference. Supervise and manage on-site interior fit-out activities, ensuring alignment with design specifications and project plans.
Interpret and execute interior drawings, layouts, and material specifications.
Ensure quality control by monitoring materials, finishes, and workmanship to maintain high design standards.
Coordinate with interior designers, project managers, contractors, and suppliers to ensure smooth execution.
Oversee the installation of flooring, ceilings, wall finishes, furniture, and lighting as per design requirements.
Resolve on-site challenges and provide technical guidance to workers and subcontractors.
Maintain daily site reports, track progress, and update project stakeholders on developments.
Ensure the procurement and use of correct materials as per project specifications.
Assist in handover procedures, ensuring all aspects of the interior works meet the required standards.
"
